DATE,moh_icu_current_covid,moh_icu_current_covid_vented,moh_hospitalizations,moh_icu_crci_total,moh_icu_crci_total_vented,moh_icu_former_covid,moh_icu_former_covid_vented
2020-07-13,13,11,45,21,16,8,5
2020-07-14,14,12,45,21,18,7,6
2020-07-15,15,11,36,22,16,7,5
2020-07-16,15,11,33,23,16,8,5
2020-07-17,16,12,33,23,15,7,3
2020-07-18,15,11,34,21,14,6,3
2020-07-19,15,12,37,21,16,6,4
2020-07-20,15,11,43,21,14,6,3
2020-07-21,17,10,40,22,12,5,2
2020-07-22,17,9,34,22,10,5,1
2020-07-23,15,9,34,20,11,5,2
2020-07-24,15,9,30,19,11,4,2
2020-07-25,14,9,29,18,11,4,2
2020-07-26,16,8,32,20,10,4,2
2020-07-27,16,9,31,19,11,3,2
2020-07-28,13,8,29,16,10,3,2
2020-07-29,13,7,27,16,10,3,3
2020-07-30,12,7,27,16,11,4,4
2020-07-31,12,7,26,16,10,4,3
2020-08-01,11,8,31,17,13,6,5
2020-08-02,10,8,29,16,13,6,5
2020-08-03,10,8,24,15,13,5,5
2020-08-04,11,8,29,15,12,4,4
2020-08-05,11,7,23,16,11,5,4
2020-08-06,8,6,16,13,11,5,5
2020-08-07,7,7,24,12,12,5,5
2020-08-08,7,6,19,12,11,5,5
2020-08-09,8,7,21,13,12,5,5
2020-08-10,7,6,19,13,12,6,6
2020-08-11,7,6,16,13,12,6,6
2020-08-12,7,6,16,13,12,6,6
2020-08-13,6,5,13,12,11,6,6
2020-08-14,6,5,11,12,10,6,5
2020-08-15,6,5,7,11,10,5,5
2020-08-16,5,5,12,10,10,5,5
2020-08-17,5,5,12,10,10,5,5
2020-08-18,4,4,10,9,9,5,5
2020-08-19,4,3,13,9,6,5,3
2020-08-20,4,3,13,9,4,5,1
2020-08-21,4,3,14,9,4,5,1
2020-08-22,4,4,13,9,5,5,1
2020-08-23,4,4,15,9,5,5,1
2020-08-24,6,6,19,8,7,2,1
2020-08-25,8,6,22,10,7,2,1
2020-08-26,10,7,31,11,8,1,1
2020-08-27,10,8,23,12,10,2,2
2020-08-28,10,4,21,13,6,3,2
2020-08-29,11,7,19,14,10,3,3
2020-08-30,10,5,24,13,7,3,2
2020-08-31,11,6,20,13,7,2,1
2020-09-01,8,6,22,10,6,2,0
2020-09-02,7,6,29,9,7,2,1
2020-09-03,9,6,26,12,6,3,0
2020-09-04,10,6,27,12,7,2,1
2020-09-05,11,6,28,13,7,2,1
2020-09-06,13,6,28,15,6,2,0
2020-09-07,11,5,30,14,6,3,1
2020-09-08,8,5,28,12,6,4,1
2020-09-09,8,6,23,12,6,4,0
2020-09-10,8,6,22,11,7,3,1
2020-09-11,8,5,19,11,6,3,1
2020-09-12,8,6,22,11,7,3,1
2020-09-13,9,6,25,12,7,3,1
2020-09-14,10,5,23,13,6,3,1
2020-09-15,11,7,22,14,8,3,1
2020-09-16,12,7,25,15,7,3,0
2020-09-17,10,6,28,14,6,4,0
2020-09-18,10,6,32,13,6,3,0
2020-09-19,12,6,37,15,6,3,0
2020-09-20,12,7,44,15,7,3,0
2020-09-21,14,8,46,16,8,2,0
2020-09-22,14,6,45,16,6,2,0
2020-09-23,15,6,45,17,6,2,0
2020-09-24,14,6,44,16,6,2,0
2020-09-25,16,8,47,18,8,2,0
2020-09-26,16,9,50,18,9,2,0
2020-09-27,16,10,53,18,10,2,0
2020-09-28,15,10,49,15,10,0,0
2020-09-29,18,10,52,18,10,0,0
2020-09-30,18,10,55,18,10,0,0
2020-10-01,17,10,52,17,10,0,0
2020-10-02,18,11,49,18,11,0,0
2020-10-03,18,12,52,18,12,0,0
2020-10-04,19,12,61,19,12,0,0
2020-10-05,18,12,61,18,12,0,0
2020-10-06,16,12,68,16,12,0,0
2020-10-07,18,13,82,19,14,1,1
2020-10-08,19,13,85,20,14,1,1
2020-10-09,22,12,88,23,13,1,1
2020-10-10,23,13,81,25,14,2,1
2020-10-11,23,12,89,25,13,2,1
2020-10-12,27,14,84,29,15,2,1
2020-10-13,30,15,105,31,16,1,1
2020-10-14,30,13,107,31,14,1,1
2020-10-15,34,17,119,35,17,1,0
2020-10-16,32,17,110,33,17,1,0
2020-10-17,29,15,117,30,15,1,0
2020-10-18,28,14,125,29,14,1,0
2020-10-19,28,18,118,29,19,1,1
2020-10-20,27,20,116,28,21,1,1
2020-10-21,27,23,115,29,24,2,1
2020-10-22,28,18,127,30,20,2,2
2020-10-23,31,24,127,32,25,1,1
2020-10-24,31,24,141,32,25,1,1
2020-10-25,31,23,139,32,24,1,1
2020-10-26,30,23,129,31,24,1,1
2020-10-27,29,24,127,30,25,1,1
2020-10-28,31,23,127,32,24,1,1
2020-10-29,34,26,133,34,26,0,0
2020-10-30,35,30,135,35,30,0,0
2020-10-31,35,23,140,35,23,0,0
2020-11-01,34,21,137,34,21,0,0
2020-11-02,30,21,148,30,21,0,0
2020-11-03,30,20,155,30,20,0,0
2020-11-04,40,22,151,40,22,0,0
2020-11-05,39,24,171,39,24,0,0
2020-11-06,42,25,160,43,25,1,0
2020-11-07,38,25,158,39,25,1,0
2020-11-08,35,25,180,36,25,1,0
2020-11-09,35,23,186,36,23,1,0
2020-11-10,37,23,200,38,23,1,0
2020-11-11,40,26,213,42,26,2,0
2020-11-12,45,28,231,46,28,1,0
2020-11-13,43,27,224,43,27,0,0
2020-11-14,47,30,231,47,30,0,0
2020-11-15,50,29,246,50,29,0,0
2020-11-16,52,30,249,52,30,0,0
2020-11-17,53,34,246,53,34,0,0
2020-11-18,60,34,246,60,34,0,0
2020-11-19,59,35,237,59,35,0,0
2020-11-20,56,32,234,56,32,0,0
2020-11-21,60,32,250,60,32,0,0
2020-11-22,63,42,256,63,42,0,0
2020-11-23,68,42,250,68,42,0,0
2020-11-24,71,51,258,71,51,0,0
2020-11-25,70,50,258,70,50,0,0
2020-11-26,71,46,277,71,46,0,0
2020-11-27,72,48,274,72,48,0,0
2020-11-28,74,44,272,76,44,2,0
2020-11-29,77,54,277,79,54,2,0
2020-11-30,81,56,275,82,56,1,0
2020-12-01,77,47,273,78,47,1,0
2020-12-02,81,53,282,82,53,1,0
2020-12-03,81,53,279,82,53,1,0
2020-12-04,81,50,296,82,51,1,1
2020-12-05,81,51,316,82,51,1,0
2020-12-06,83,52,315,84,52,1,0
2020-12-07,79,53,323,81,54,2,1
2020-12-08,80,48,324,82,49,2,1
2020-12-09,86,55,322,90,58,4,3
2020-12-10,87,57,336,92,60,5,3
2020-12-11,91,61,331,96,64,5,3
2020-12-12,99,61,358,106,64,7,3
2020-12-13,94,60,383,101,64,7,4
2020-12-14,99,63,386,105,68,6,5
2020-12-15,97,67,376,103,70,6,3
2020-12-16,101,66,350,106,69,5,3
2020-12-17,99,63,361,104,66,5,3
2020-12-18,100,61,364,104,63,4,2
2020-12-19,106,63,381,111,66,5,3
2020-12-20,105,62,424,111,66,6,4
2020-12-21,106,63,423,110,65,4,2
2020-12-22,106,71,416,111,75,5,4
2020-12-23,105,68,424,111,72,6,4
2020-12-24,108,50,398,113,52,5,2
2020-12-25,115,74,444,120,77,5,3
2020-12-26,118,89,485,122,92,4,3
2020-12-27,122,97,490,128,102,6,5
2020-12-28,122,94,505,129,98,7,4
2020-12-29,125,82,502,132,85,7,3
2020-12-30,128,89,517,134,93,6,4
2020-12-31,127,94,503,134,98,7,4
2021-01-01,117,88,534,124,92,7,4
2021-01-02,120,93,542,127,98,7,5
2021-01-03,122,77,562,129,82,7,5
2021-01-04,125,91,598,133,97,8,6
2021-01-05,133,98,595,139,102,6,4
2021-01-06,134,101,592,139,104,5,3
2021-01-07,140,104,603,146,107,6,3
2021-01-08,141,98,618,146,101,5,3
2021-01-09,133,99,636,138,101,5,2
2021-01-10,134,97,700,140,99,6,2
2021-01-11,134,97,671,140,99,6,2
2021-01-12,128,97,664,134,99,6,2
2021-01-13,129,95,665,134,98,5,3
2021-01-14,124,94,647,130,97,6,3
2021-01-15,125,89,624,131,93,6,4
2021-01-16,123,101,633,127,104,4,3
2021-01-17,128,101,641,132,104,4,3
2021-01-18,133,99,639,138,102,5,3
2021-01-19,129,99,573,132,102,3,3
2021-01-20,129,96,564,133,99,4,3
2021-01-21,130,94,566,134,98,4,4
2021-01-22,134,96,548,138,100,4,4
2021-01-23,130,100,537,134,103,4,3
2021-01-24,135,99,550,141,103,6,4
2021-01-25,131,98,512,136,101,5,3
2021-01-26,124,96,493,130,100,6,4
2021-01-27,117,95,469,122,98,5,3
2021-01-28,120,89,466,125,93,5,4
2021-01-29,121,76,453,127,78,6,2
2021-01-30,116,90,449,123,95,7,5
2021-01-31,117,87,462,124,91,7,4
2021-02-01,114,79,366,122,83,8,4
2021-02-02,109,79,424,120,84,11,5
2021-02-03,103,79,399,113,85,10,6
2021-02-04,103,67,399,113,74,10,7
2021-02-05,102,65,370,113,73,11,8
2021-02-06,105,70,374,117,78,12,8
2021-02-07,103,70,385,114,79,11,9
2021-02-08,100,68,367,111,76,11,8
2021-02-09,99,71,370,109,78,10,7
2021-02-10,91,68,343,102,76,11,8
2021-02-11,93,66,325,105,73,12,7
2021-02-12,95,67,296,107,76,12,9
2021-02-13,102,71,329,114,80,12,9
2021-02-14,101,71,323,113,79,12,8
2021-02-15,112,83,266,125,90,13,7
2021-02-16,114,87,324,126,93,12,6
2021-02-17,114,79,289,127,86,13,7
2021-02-18,111,81,313,123,87,12,6
2021-02-19,112,80,317,121,83,9,3
2021-02-20,118,80,296,127,83,9,3
2021-02-21,116,81,298,126,84,10,3
2021-02-22,122,81,280,130,85,8,4
2021-02-23,116,77,280,126,81,10,4
2021-02-24,115,77,273,125,80,10,3
2021-02-25,114,79,285,124,84,10,5
2021-02-26,109,78,257,118,84,9,6
2021-02-27,112,75,259,122,81,10,6
2021-02-28,106,67,261,116,74,10,7
2021-03-01,111,72,250,119,76,8,4
2021-03-02,103,74,250,113,79,10,5
2021-03-03,107,70,249,116,75,9,5
2021-03-04,110,73,233,120,79,10,6
2021-03-05,111,65,237,121,69,10,4
2021-03-06,105,67,245,115,71,10,4
2021-03-07,103,64,257,113,69,10,5
2021-03-08,104,64,256,114,69,10,5
2021-03-09,104,57,255,112,61,8,4
2021-03-10,104,65,255,112,69,8,4
2021-03-11,102,69,264,111,73,9,4
2021-03-12,98,67,261,106,70,8,3
2021-03-13,104,69,273,111,72,7,3
2021-03-14,108,70,271,115,74,7,4
2021-03-15,111,75,272,118,77,7,2
2021-03-16,111,74,270,118,77,7,3
2021-03-17,109,72,278,118,78,9,6
2021-03-18,115,69,285,125,73,10,4
2021-03-19,112,71,294,123,78,11,7
2021-03-20,114,73,317,126,80,12,7
2021-03-21,110,75,334,122,84,12,9
2021-03-22,111,74,343,123,80,12,6
2021-03-23,119,83,334,128,90,9,7
2021-03-24,116,80,345,125,87,9,7
2021-03-25,128,82,374,136,87,8,5
2021-03-26,126,72,375,135,77,9,5
2021-03-27,129,76,392,139,81,10,5
2021-03-28,128,91,431,136,96,8,5
2021-03-29,141,95,467,148,100,7,5
2021-03-30,148,102,469,155,107,7,5
2021-03-31,150,100,467,156,105,6,5
2021-04-01,155,103,483,162,108,7,5
2021-04-02,162,98,522,169,102,7,4
2021-04-03,171,91,555,177,95,6,4
2021-04-04,172,101,580,177,105,5,4
2021-04-05,175,104,581,180,108,5,4
2021-04-06,170,107,587,178,111,8,4
2021-04-07,181,114,607,189,119,8,5
2021-04-08,187,122,630,198,129,11,7
2021-04-09,195,129,649,205,136,10,7
2021-04-10,197,121,688,207,129,10,8
2021-04-11,203,127,734,213,132,10,5
2021-04-12,195,129,745,206,139,11,10
2021-04-13,191,127,787,202,136,11,9
2021-04-14,192,131,809,203,141,11,10
2021-04-15,204,134,834,214,142,10,8
2021-04-16,213,132,874,224,141,11,9
2021-04-17,210,127,939,221,135,11,8
2021-04-18,215,128,974,225,136,10,8
2021-04-19,212,134,952,222,141,10,7
2021-04-20,206,137,961,216,145,10,8
2021-04-21,214,140,917,225,148,11,8
2021-04-22,208,130,884,220,139,12,9
2021-04-23,204,138,846,216,146,12,8
2021-04-24,208,136,877,219,144,11,8
2021-04-25,210,134,869,223,144,13,10
2021-04-26,203,121,835,216,131,13,10
2021-04-27,199,131,778,211,140,12,9
2021-04-28,199,129,735,211,140,12,11
2021-04-29,195,135,719,207,143,12,8
2021-04-30,195,129,715,207,139,12,10
2021-05-01,188,123,752,201,132,13,9
2021-05-02,189,123,736,199,128,10,5
2021-05-03,186,122,705,196,126,10,4
2021-05-04,183,123,661,194,130,11,7
2021-05-05,192,120,632,202,124,10,4
2021-05-06,178,120,592,188,124,10,4
2021-05-07,176,116,566,187,124,11,8
2021-05-08,175,119,552,184,126,9,7
2021-05-09,176,122,586,183,127,7,5
2021-05-10,174,127,524,183,133,9,6
2021-05-11,174,128,530,182,134,8,6
2021-05-12,182,131,528,190,137,8,6
2021-05-13,182,134,512,189,139,7,5
2021-05-14,195,141,518,202,145,7,4
2021-05-15,189,141,530,196,145,7,4
2021-05-16,186,139,524,194,144,8,5
2021-05-17,190,138,506,196,142,6,4
2021-05-18,178,129,477,185,133,7,4
2021-05-19,170,126,469,178,130,8,4
2021-05-20,174,132,442,181,136,7,4
2021-05-21,174,127,411,181,133,7,6
2021-05-22,167,121,410,176,126,9,5
2021-05-23,173,124,423,181,129,8,5
2021-05-24,171,125,406,177,130,6,5
2021-05-25,162,116,397,167,121,5,5
2021-05-26,159,115,379,165,121,6,6
2021-05-27,156,113,327,161,118,5,5
2021-05-28,154,113,315,160,117,6,4
2021-05-29,147,108,304,155,113,8,5
2021-05-30,149,105,292,158,110,9,5
2021-05-31,142,103,278,151,107,9,4
2021-06-01,142,101,270,152,106,10,5
2021-06-02,136,99,245,148,104,12,5
2021-06-03,124,96,225,135,100,11,4
2021-06-04,122,90,213,133,97,11,7
2021-06-05,119,88,211,133,93,14,5
2021-06-06,120,83,220,131,88,11,5
2021-06-07,112,71,199,122,76,10,5
2021-06-08,117,83,188,128,90,11,7
2021-06-09,114,83,177,124,89,10,6
2021-06-10,112,89,164,120,94,8,5
2021-06-11,108,80,147,117,85,9,5
2021-06-12,106,79,152,115,84,9,5
2021-06-13,102,76,111,111,81,9,5
2021-06-14,98,60,104,107,63,9,3
2021-06-15,93,58,100,104,62,11,4
2021-06-16,90,59,85,101,66,11,7
2021-06-17,86,56,68,96,60,10,4
2021-06-18,77,52,63,88,56,11,4
2021-06-19,75,46,63,86,51,11,5
2021-06-20,75,42,71,85,47,10,5
2021-06-21,71,44,59,81,50,10,6
2021-06-22,70,40,57,81,45,11,5
2021-06-23,68,46,51,78,50,10,4
2021-06-24,63,47,46,72,53,9,6
2021-06-25,59,46,44,71,53,12,7
2021-06-26,60,50,49,72,57,12,7
2021-06-27,57,44,43,70,53,13,9
2021-06-28,55,42,42,65,50,10,8
2021-06-29,55,43,35,66,51,11,8
2021-06-30,52,38,36,64,46,12,8
2021-07-01,50,33,32,64,43,14,10
2021-07-02,46,32,28,60,40,14,8
2021-07-03,44,32,28,59,41,15,9
2021-07-04,41,32,30,56,40,15,8
2021-07-05,36,29,30,52,40,16,11
2021-07-06,35,25,32,52,37,17,12
2021-07-07,34,23,36,50,33,16,10
2021-07-08,36,25,33,51,35,15,10
2021-07-09,36,23,31,50,32,14,9
2021-07-10,38,23,34,52,31,14,8
2021-07-11,38,22,37,53,30,15,8
2021-07-12,38,23,33,53,32,15,9
2021-07-13,35,22,33,51,30,16,8
2021-07-14,35,19,33,47,28,12,9
2021-07-15,31,18,26,42,27,11,9
2021-07-16,27,18,22,38,26,11,8
2021-07-17,27,15,27,38,22,11,7
2021-07-18,27,15,29,39,24,12,9
2021-07-19,27,14,30,40,21,13,7
2021-07-20,28,14,25,39,19,11,5
2021-07-21,26,14,37,36,20,10,6
2021-07-22,27,13,35,38,20,11,7
2021-07-23,25,10,33,37,17,12,7
2021-07-24,23,10,35,35,16,12,6
2021-07-25,23,11,37,35,16,12,5
2021-07-26,22,12,33,34,16,12,4
2021-07-27,22,10,30,35,16,13,6
2021-07-28,22,11,31,35,16,13,5
2021-07-29,22,11,28,33,17,11,6
2021-07-30,21,13,30,30,19,9,6
2021-07-31,19,12,27,28,18,9,6
2021-08-01,19,10,30,29,16,10,6
2021-08-02,17,9,27,27,15,10,6
2021-08-03,16,9,38,27,15,11,6
2021-08-04,19,10,43,31,16,12,6
2021-08-05,19,11,56,31,18,12,7
2021-08-06,20,12,31,31,19,11,7
2021-08-07,23,12,41,34,19,11,7
2021-08-08,23,12,34,33,18,10,6
2021-08-09,20,12,39,30,18,10,6
2021-08-10,21,10,39,31,17,10,7
2021-08-11,22,12,41,32,20,10,8
2021-08-12,21,13,42,32,22,11,9
2021-08-13,21,11,48,33,21,12,10
2021-08-14,23,11,45,34,20,11,9
2021-08-15,24,9,47,35,14,11,5
2021-08-16,23,11,48,35,19,12,8
2021-08-17,22,9,49,35,16,13,7
2021-08-18,24,9,59,37,17,13,8
2021-08-19,25,12,66,38,21,13,9
2021-08-20,24,13,74,34,19,10,6
2021-08-21,29,13,83,41,20,12,7
2021-08-22,31,12,98,43,20,12,8
2021-08-23,37,16,107,50,24,13,8
2021-08-24,40,18,118,52,27,12,9
2021-08-25,43,21,119,57,30,14,9
2021-08-26,39,21,126,53,30,14,9
2021-08-27,43,18,128,56,26,13,8
2021-08-28,45,25,129,57,33,12,8
2021-08-29,48,22,143,59,31,11,9
2021-08-30,46,26,148,57,33,11,7
2021-08-31,48,24,134,59,31,11,7
2021-09-01,53,29,131,62,35,9,6
2021-09-02,51,32,135,60,38,9,6
2021-09-03,47,29,127,55,34,8,5
2021-09-04,46,27,134,54,33,8,6
2021-09-05,46,27,134,54,33,8,6
2021-09-06,50,30,137,58,36,8,6
2021-09-07,54,29,132,62,35,8,6
2021-09-08,50,26,141,58,32,8,6
2021-09-09,42,25,129,50,31,8,6
2021-09-10,44,24,126,53,31,9,7
2021-09-11,48,24,119,57,31,9,7
2021-09-12,53,30,128,61,37,8,7
2021-09-13,55,34,124,63,41,8,7
2021-09-14,52,37,136,59,44,7,7
2021-09-15,51,37,130,60,45,9,8
2021-09-16,48,35,116,57,43,9,8
2021-09-17,45,33,105,53,41,8,8
2021-09-18,46,33,101,54,41,8,8
2021-09-19,43,33,107,51,40,8,7
2021-09-20,41,34,101,50,42,9,8
2021-09-21,43,34,104,52,42,9,8
2021-09-22,47,34,105,55,42,8,8
2021-09-23,46,34,112,54,42,8,8
2021-09-24,39,30,103,47,36,8,6
2021-09-25,38,31,103,47,37,9,6
2021-09-26,37,28,102,45,34,8,6
2021-09-27,36,26,92,45,33,9,7
2021-09-28,37,24,89,46,31,9,7
2021-09-29,39,24,82,47,32,8,8
2021-09-30,36,22,79,44,30,8,8
2021-10-01,35,20,79,43,26,8,6
2021-10-02,32,17,80,40,23,8,6
2021-10-03,30,18,91,39,23,9,5
2021-10-04,33,19,98,40,23,7,4
2021-10-05,33,21,92,40,27,7,6
2021-10-06,29,20,93,35,26,6,6
2021-10-07,31,18,91,38,24,7,6
2021-10-08,31,17,103,38,22,7,5
2021-10-09,31,21,87,38,27,7,6
2021-10-10,32,19,86,40,25,8,6
2021-10-11,31,20,71,39,27,8,7
2021-10-12,29,21,79,38,28,9,7
2021-10-13,32,19,93,41,26,9,7
2021-10-14,35,21,80,44,28,9,7
2021-10-15,35,21,83,44,29,9,8
2021-10-16,37,20,71,47,27,10,7
2021-10-17,39,22,86,49,30,10,8
2021-10-18,35,23,85,46,31,11,8
2021-10-19,37,27,87,48,35,11,8
2021-10-20,35,21,88,46,30,11,9
2021-10-21,28,20,90,41,30,13,10
2021-10-22,26,20,84,39,31,13,11
2021-10-23,29,22,80,42,33,13,11
2021-10-24,29,21,74,41,32,12,11
2021-10-25,28,19,67,41,31,13,12
2021-10-26,28,19,62,41,30,13,11
2021-10-27,28,21,64,40,30,12,9
2021-10-28,30,22,57,42,31,12,9
2021-10-29,31,19,63,43,26,12,7
2021-10-30,34,24,69,44,29,10,5
2021-10-31,36,23,71,46,28,10,5
2021-11-01,36,23,69,46,29,10,6
2021-11-02,31,22,68,39,26,8,4
2021-11-03,32,24,61,38,28,6,4
2021-11-04,31,24,64,37,28,6,4
2021-11-05,31,24,54,38,29,7,5
2021-11-06,27,20,64,34,25,7,5
2021-11-07,27,19,54,34,23,7,4
2021-11-08,29,17,57,35,20,6,3
2021-11-09,28,16,49,34,20,6,4
2021-11-10,27,17,48,33,21,6,4
2021-11-11,26,16,46,32,20,6,4
2021-11-12,30,17,45,36,21,6,4
2021-11-13,28,17,53,35,21,7,4
2021-11-14,28,16,57,36,20,8,4
2021-11-15,29,17,53,37,21,8,4
2021-11-16,28,16,53,34,20,6,4
2021-11-17,28,17,52,34,22,6,5
2021-11-18,28,13,69,35,17,7,4
2021-11-19,27,12,63,34,17,7,5
2021-11-20,27,11,69,34,15,7,4
2021-11-21,22,7,74,30,11,8,4
2021-11-22,21,5,67,29,10,8,5
2021-11-23,20,8,59,27,12,7,4
2021-11-24,21,9,51,28,13,7,4
2021-11-25,23,11,43,29,15,6,4
2021-11-26,21,11,48,27,15,6,4
2021-11-27,22,12,59,27,15,5,3
2021-11-28,23,13,63,28,17,5,4
2021-11-29,22,13,67,27,17,5,4
2021-11-30,23,10,62,28,14,5,4
2021-12-01,25,14,69,30,18,5,4
2021-12-02,27,15,74,32,19,5,4
2021-12-03,26,17,66,30,20,4,3
2021-12-04,30,17,82,34,20,4,3
2021-12-05,28,15,91,31,17,3,2
2021-12-06,26,13,84,29,15,3,2
2021-12-07,26,14,72,28,16,2,2
2021-12-08,24,14,67,27,16,3,2
2021-12-09,22,9,76,26,11,4,2
2021-12-10,20,9,72,23,11,3,2
2021-12-11,25,11,80,28,13,3,2
2021-12-12,25,10,89,28,12,3,2
2021-12-13,25,12,61,28,13,3,1
2021-12-14,22,14,74,25,16,3,2
2021-12-15,26,14,75,29,15,3,1
2021-12-16,22,13,62,25,15,3,2
2021-12-17,22,12,62,25,14,3,2
2021-12-18,25,15,70,29,17,4,2
2021-12-19,26,16,88,30,18,4,2
2021-12-20,26,14,90,30,16,4,2
2021-12-21,30,18,103,35,20,5,2
2021-12-22,27,16,118,31,18,4,2
2021-12-23,30,16,120,33,18,3,2
2021-12-24,31,16,118,34,18,3,2
2021-12-25,34,14,131,37,16,3,2
2021-12-26,37,17,148,41,20,4,3
2021-12-27,37,16,224,41,19,4,3
2021-12-28,36,14,237,41,17,5,3
2021-12-29,37,15,327,41,19,4,4
2021-12-30,40,16,382,44,20,4,4
2021-12-31,42,18,436,47,22,5,4
2022-01-01,44,17,513,48,21,4,4
2022-01-02,57,26,591,61,30,4,4
2022-01-03,67,30,686,71,33,4,3
2022-01-04,71,32,682,75,35,4,3
2022-01-05,81,37,774,85,39,4,2
2022-01-06,85,44,766,89,47,4,3
2022-01-07,97,53,896,102,56,5,3
2022-01-08,104,55,978,109,58,5,3
2022-01-09,109,54,955,114,57,5,3
2022-01-10,115,59,1096,119,62,4,3
2022-01-11,133,68,1107,137,72,4,4
2022-01-12,128,72,1161,134,76,6,4
2022-01-13,130,73,1171,134,77,4,4
2022-01-14,140,81,1149,145,85,5,4
2022-01-15,152,90,1197,157,94,5,4
2022-01-16,151,92,1200,156,96,5,4
2022-01-17,156,82,1163,161,84,5,2
2022-01-18,157,94,1221,162,98,5,4
